Suburb,Address,Type,Price,Year,Distance,Bedroom,Lattitude,Longtitude,DistMonash,PPB_K,Dev_PPB_K
Clayton,18 Renver Rd,House,1300000,2017,16.7,3,-37.91865,145.14341,1.6,433.333,124.636
Clayton,22 Evelyn St,House,1361000,2017,16.7,6,-37.91945,145.1315,0.85,226.833,-81.864
Clayton,25 Panorama St,House,1462000,2017,16.7,3,-37.92027,145.12937,1.1,487.333,178.636
Clayton,1/10 Morton St,Unit,780000,2017,16.7,3,-37.91712,145.13625,1.5,260,-56.397
Clayton,7 Jaguar Dr,House,1040000,2017,16.7,4,-37.92374,145.13222,1.8,260,-48.697
Clayton,6 Harlington St,House,1018000,2017,16.7,3,-37.92063,145.11186,2.8,339.333,30.636
Clayton,56 Eva St,House,1250000,2017,16.7,4,-37.9255,145.11331,3,312.5,3.803
Clayton,2/46 Jaguar Dr,House,729500,2017,16.7,3,-37.92624,145.1321,2,243.167,-65.53
Clayton,1/30 Morton St,Unit,696000,2017,16.7,3,-37.91735,145.13814,1.3,232,-84.397
Clayton,25 View St,House,1115000,2017,16.7,5,-37.92304,145.10984,3.3,223,-85.697
Clayton,32 Wellington Rd,House,1950000,2017,16.7,3,-37.91583,145.13363,0.5,650,341.303
Clayton,68 Margaret St,House,1238888,2017,16.7,3,-37.91739,145.11773,1.8,412.963,104.266
Clayton,22 Burton Av,House,2950000,2017,16.7,3,-37.92614,145.11713,2.6,983.333,674.636
Clayton,1/76 Scotsburn Av,Unit,810000,2017,16.7,3,-37.92559,145.10804,3.8,270,-46.397
Clayton,4 Bayview Av,House,753000,2017,16.7,2,-37.90678,145.12367,1.4,376.5,67.803
Clayton,113 Kanooka Gr,House,1100000,2017,16.7,4,-37.92674,145.1249,2,275,-33.697
Clayton,5 Harlington St,House,1215000,2017,16.7,7,-37.92059,145.11149,3.1,173.571,-135.126
Clayton,5 Flora Rd,House,800000,2017,16.7,3,-37.91737,145.11569,2.2,266.667,-42.03
Clayton,324 Haughton Rd,House,1004000,2017,16.7,3,-37.91883,145.11209,2.8,334.667,25.97
Clayton,16 Eva St,House,1163000,2017,16.7,4,-37.9221,145.114,2.7,290.75,-17.947
Clayton,47 Beddoe Av,House,1870000,2018,16.7,3,-37.9112,145.12778,0.9,623.333,311.477
Clayton,25 Eva St,House,1371000,2018,16.7,3,-37.92221,145.11357,2.9,457,145.144
