Suburb,Price per Bedroom in K,DevAreaPrice in K,Year
ASHWOOD,381.696,72.999,2017
BURWOOD,371.152,62.456,2017
CHADSTONE,304.100,-4.597,2017
HUGHESDALE,390.152,81.455,2017
MOORABBIN,354.763,46.066,2017
OAKLEIGH SOUTH,314.712,6.016,2017
OAKLEIGH,370.643,61.946,2017
BERWICK,215.117,-93.579,2017
CHELTENHAM,329.204,20.507,2017
CRANBOURNE,172.294,-136.402,2017
DANDENONG,207.028,-101.668,2017
DANDENONG NORTH,192.891,-115.806,2017
DINGLEY VILLAGE,261.167,-47.530,2017
FRANKSTON,199.403,-109.294,2017
FRANKSTON NORTH,160.684,-148.012,2017
FRANKSTON SOUTH,274.525,-34.172,2017
HIGHETT,385.694,76.998,2017
HUNTINGDALE,329.441,20.745,2017
KEYSBOROUGH,239.361,-69.336,2017
MORDIALLOC,348.341,39.645,2017
MOUNT WAVERLEY,407.112,98.415,2017
NARRE WARREN,195.500,-113.197,2017
OAKLEIGH EAST,334.313,25.616,2017
PARKDALE,375.888,67.191,2017
SEAFORD,213.815,-94.881,2017
SKYE,157.907,-150.790,2017
SPRINGVALE,255.892,-52.805,2017
BONBEACH,321.306,12.610,2017
CHELSEA,304.573,-4.124,2017
CLAYTON,329.658,20.962,2017
DOVETON,177.411,-131.286,2017
GLEN WAVERLEY,375.768,67.072,2017
MENTONE,327.226,18.529,2017
MULGRAVE,319.610,10.913,2017
WHEELERS HILL,302.117,-6.579,2017
CARRUM DOWNS,173.780,-134.917,2017
CLAYTON SOUTH,281.682,-27.015,2017
LANGWARRIN,193.870,-114.826,2017
NOBLE PARK,229.207,-79.490,2017
NOTTING HILL,316.776,8.079,2017
CHELSEA HEIGHTS,214.641,-94.055,2017
SANDHURST,163.750,-144.947,2017
ASPENDALE,327.750,19.053,2017
EDITHVALE,289.926,-18.771,2017
CRANBOURNE NORTH,146.250,-162.447,2017
ASPENDALE GARDENS,255.014,-53.683,2017
CLARINDA,244.189,-64.508,2017
ENDEAVOUR HILLS,192.629,-116.067,2017
PATTERSON LAKES,222.111,-86.586,2017
HEATHERTON,261.667,-47.030,2017
CRANBOURNE WEST,206.250,-102.447,2017
