Suburb,PPB_K,Dev_PPB_K,Year,City_Council,Num_Property
ASHWOOD,385.362,66.815,2017,Monash City Council,15
ASHWOOD,455.4,155.675,2018,Monash City Council,3
BURWOOD,356.867,38.32,2017,Monash City Council,16
BURWOOD,474.067,174.342,2018,Monash City Council,5
CHADSTONE,344.167,44.442,2018,Monash City Council,2
CLAYTON,623.333,323.608,2018,Monash City Council,1
GLEN WAVERLEY,394.188,75.641,2017,Monash City Council,32
GLEN WAVERLEY,320.97,21.245,2018,Monash City Council,8
HUGHESDALE,363.229,44.682,2017,Monash City Council,7
HUGHESDALE,203.75,-95.975,2018,Monash City Council,1
MOUNT WAVERLEY,369.355,69.63,2018,Monash City Council,8
MULGRAVE,248.059,-51.666,2018,Monash City Council,5
OAKLEIGH,393.4,93.675,2018,Monash City Council,4
WHEELERS HILL,276.056,-42.491,2017,Monash City Council,8
WHEELERS HILL,350,50.275,2018,Monash City Council,2
