Suburb,MeanPrice,DevMean,Flag
ASHWOOD,1220920.455,-37538.33159,0
BRIGHTON,2094115.794,835657.0081,1
BRIGHTON EAST,1670190.909,411732.123,1
BURWOOD,1298454.734,39995.94781,1
CHADSTONE,972235.2941,-286223.492,0
HAMPTON,1728424.855,469966.0694,1
HAMPTON EAST,1153000,-105458.7861,0
HUGHESDALE,1113511.628,-144947.1582,0
MOORABBIN,1030997.093,-227461.6931,0
OAKLEIGH SOUTH,1012114.963,-246343.8236,0
OAKLEIGH,1144906.78,-113552.0065,0
BEAUMARIS,1750591.667,492132.8805,1
BERWICK,807722.2222,-450736.5639,0
CHELTENHAM,1072745.283,-185713.5031,0
CRANBOURNE,654400.8,-604057.9861,0
DANDENONG,658030.303,-600428.4831,0
DANDENONG NORTH,650626.3158,-607832.4703,0
DINGLEY VILLAGE,910341.4634,-348117.3227,0
FRANKSTON,684404.2568,-574054.5294,0
FRANKSTON NORTH,508833.3333,-749625.4528,0
FRANKSTON SOUTH,950743.2432,-307715.5429,0
HALLAM,713722.2222,-544736.5639,0
HIGHETT,1231152.174,-27306.61222,0
HUNTINGDALE,1061533.333,-196925.4528,0
KEYSBOROUGH,811903.8462,-446554.94,0
MORDIALLOC,1082708.333,-175750.4528,0
MOUNT WAVERLEY,1405320.301,146861.5146,1
NARRE WARREN,644653.8462,-613804.94,0
OAKLEIGH EAST,1192611.111,-65847.67502,0
PARKDALE,1171860.577,-86598.20921,0
SANDRINGHAM,1767349.057,508890.2705,1
SEAFORD,747596.7742,-510862.0119,0
SKYE,552674.5,-705784.2861,0
SPRINGVALE,830267.8571,-428190.929,0
BLACK ROCK,1509613.636,251154.8502,1
BONBEACH,1101050,-157408.7861,0
CARRUM,740733.3333,-517725.4528,0
CHELSEA,916083.3333,-342375.4528,0
CLAYTON,1226199.455,-32259.33159,0
DOVETON,540843.75,-717615.0361,0
GLEN WAVERLEY,1409479.528,151020.7416,1
MENTONE,1064564.516,-193894.27,0
MULGRAVE,1058752.246,-199706.54,0
WHEELERS HILL,1232416.661,-26042.12512,0
CARRUM DOWNS,547125,-711333.7861,0
CLAYTON SOUTH,857730.7692,-400728.0169,0
LANGWARRIN,636772.7273,-621686.0589,0
NOBLE PARK,702193.5484,-556265.2377,0
NOTTING HILL,1020722.222,-237736.5639,0
CHELSEA HEIGHTS,764892.8571,-493565.929,0
SANDHURST,650000,-608458.7861,0
ASPENDALE,1039000,-219458.7861,0
EDITHVALE,920454.5455,-338004.2407,0
HAMPTON PARK,577600,-680858.7861,0
CRANBOURNE NORTH,605000,-653458.7861,0
ASPENDALE GARDENS,924483.3333,-333975.4528,0
CLARINDA,981086.6667,-277372.1195,0
ENDEAVOUR HILLS,739840.9091,-518617.877,0
WATERWAYS,1103500,-154958.7861,0
SPRINGVALE SOUTH,782700,-475758.7861,0
PATTERSON LAKES,743500,-514958.7861,0
EUMEMMERRING,703000,-555458.7861,0
HEATHERTON,817000,-441458.7861,0
LYNBROOK,630000,-628458.7861,0
BOTANIC RIDGE,750000,-508458.7861,0
CRANBOURNE WEST,624083.3333,-634375.4528,0
CLYDE NORTH,575000,-683458.7861,0
