Suburb,MeanPrice,DeivationMean,Longtitude,Lattitude
ASHWOOD,1216112.903,-166354.058,145.1042845,-37.86616597
ASPENDALE,1051571.429,-1812.583359,145.1018521,-38.02169071
ASPENDALE GARDENS,900525,149233.8452,145.120611,-38.021803
BONBEACH,1130055.556,-80296.71034,145.1247044,-38.06534111
BOTANIC RIDGE,750000,299758.8452,145.2512,-38.1452
CARRUM,739545.4545,310213.3907,145.1299536,-38.07662182
CARRUM DOWNS,549583.3333,500175.5119,145.1850011,-38.10243222
CHADSTONE,972127.907,77630.93824,145.1008802,-37.88114814
CHELSEA,914800,134958.8452,145.120073,-38.048925
CHELSEA HEIGHTS,741500,308258.8452,145.1351273,-38.04332909
CHELTENHAM,1074017.647,-24258.80185,145.0677111,-37.96492188
CLARINDA,1015858.333,33900.51188,145.1056892,-37.93736417
CLAYTON,1249225,-199466.1548,145.122816,-37.9209295
CLAYTON SOUTH,880260.8696,169497.9756,145.1220891,-37.93992348
CRANBOURNE,661251.3333,388507.5119,145.2822117,-38.101075
CRANBOURNE NORTH,605000,444758.8452,145.3075567,-38.07762667
CRANBOURNE WEST,825000,224758.8452,145.24457,-38.11235
DANDENONG,680863.6364,368895.2088,145.2146091,-37.98545636
DANDENONG NORTH,671140.7407,378618.1045,145.2104615,-37.95495593
DINGLEY VILLAGE,918851.3514,130907.4939,145.1290865,-37.98147622
DOVETON,539166.6667,510592.1785,145.2355778,-37.99302889
EDITHVALE,951093.75,98665.09521,145.1164419,-38.03687625
ENDEAVOUR HILLS,753433.3333,296325.5119,145.2626327,-37.97893067
EUMEMMERRING,703000,346758.8452,145.24571,-37.99841
FRANKSTON,668443.4746,381315.3706,145.1462708,-38.14876746
FRANKSTON SOUTH,932166.6667,117592.1785,145.1219904,-38.16626333
GLEN WAVERLEY,1442799.878,-393041.0326,145.1638856,-37.88452867
HALLAM,758250,291508.8452,145.2673083,-38.002175
HAMPTON PARK,552000,497758.8452,145.260755,-38.03403
HEATHERTON,817000,232758.8452,145.0815,-37.95279333
HIGHETT,1283734.694,-233975.8487,145.0361657,-37.94936102
HUGHESDALE,1110100,-60341.15479,145.0810978,-37.89907375
HUNTINGDALE,1056725,-6966.154788,145.1084925,-37.9066475
KEYSBOROUGH,805545.4545,244213.3907,145.1625123,-37.99225045
MENTONE,1111638.298,-61879.45266,145.0704417,-37.98067723
MOORABBIN,1023199.367,26559.47812,145.0491418,-37.9399762
MORDIALLOC,1110700,-60941.15479,145.09299,-38.0003276
MOUNT WAVERLEY,1405290.909,-355532.0639,145.1288393,-37.87677659
MULGRAVE,1108115.608,-58356.76263,145.1759598,-37.92750235
NARRE WARREN,635777.7778,413981.0674,145.3051244,-38.01866
NOBLE PARK,715590.9091,334167.9361,145.1805941,-37.97107364
NOTTING HILL,1087200,-37441.15479,145.148576,-37.905214
OAKLEIGH,1151098.214,-101339.3691,145.0968107,-37.90180214
OAKLEIGH EAST,1208562.5,-158803.6548,145.1149369,-37.90350938
OAKLEIGH SOUTH,998620.6714,51138.17378,145.0909113,-37.92460371
PARKDALE,1283681.25,-233922.4048,145.081655,-37.992658
PATTERSON LAKES,817000,232758.8452,145.14442,-38.069955
SANDHURST,642500,407258.8452,145.20675,-38.08069
SEAFORD,744340,305418.8452,145.1371744,-38.1063092
SKYE,552674.5,497084.3452,145.2068,-38.102015
SPRINGVALE,859525,190233.8452,145.1542835,-37.9452445
SPRINGVALE SOUTH,782700,267058.8452,145.151974,-37.974206
WATERWAYS,1248500,-198741.1548,145.130475,-38.01346
WHEELERS HILL,1254831.553,-205072.708,145.1845421,-37.90737574
