Suburb,Price per Bedroom in K,DevAreaPrice in K,Year
ASHWOOD,416.371,104.515,2018
ASPENDALE,301.563,-10.293,2018
BERWICK,260.000,-51.856,2018
BURWOOD,460.214,148.359,2018
CHADSTONE,345.417,33.561,2018
CHELTENHAM,322.233,10.378,2018
CLARINDA,269.341,-42.515,2018
CRANBOURNE WEST,174.542,-137.314,2018
DINGLEY VILLAGE,267.608,-44.248,2018
ENDEAVOUR HILLS,212.667,-99.189,2018
FRANKSTON,219.894,-91.962,2018
FRANKSTON SOUTH,266.089,-45.766,2018
GLEN WAVERLEY,366.844,54.988,2018
HIGHETT,405.884,94.028,2018
KEYSBOROUGH,244.444,-67.411,2018
LANGWARRIN,147.500,-164.356,2018
MENTONE,355.419,43.563,2018
MOUNT WAVERLEY,370.662,58.807,2018
MULGRAVE,268.900,-42.956,2018
NOBLE PARK,254.306,-57.550,2018
OAKLEIGH SOUTH,271.143,-40.713,2018
PARKDALE,363.556,51.700,2018
SEAFORD,226.739,-85.117,2018
WHEELERS HILL,335.745,23.889,2018
ASPENDALE GARDENS,275.691,-36.165,2018
CLAYTON SOUTH,309.167,-2.689,2018
MOORABBIN,328.800,16.944,2018
OAKLEIGH,393.400,81.544,2018
CHELSEA HEIGHTS,208.750,-103.106,2018
EDITHVALE,287.125,-24.731,2018
HEATHERTON,277.667,-34.189,2018
MORDIALLOC,305.556,-6.300,2018
NARRE WARREN,191.167,-120.689,2018
SANDHURST,213.333,-98.522,2018
SPRINGVALE,303.615,-8.240,2018
DANDENONG NORTH,214.974,-96.882,2018
CARRUM DOWNS,173.346,-138.510,2018
DANDENONG,268.962,-42.894,2018
OAKLEIGH EAST,387.143,75.287,2018
BONBEACH,262.500,-49.356,2018
CLAYTON,540.167,228.311,2018
CRANBOURNE NORTH,161.250,-150.606,2018
HUGHESDALE,203.750,-108.106,2018
PATTERSON LAKES,243.750,-68.106,2018
CHELSEA,623.333,311.478,2018
CRANBOURNE,228.667,-83.189,2018
DOVETON,223.333,-88.522,2018
