Suburb,MeanPrice,Dev.Mean
ASPENDALE,1051571.429,-127649.6602
ASPENDALE GARDENS,900525,23396.76835
BONBEACH,1130055.556,-206133.7872
BOTANIC RIDGE,750000,173921.7684
CARRUM,739545.4545,184376.3138
CARRUM DOWNS,549583.3333,374338.435
CHELSEA,914800,9121.768354
CHELSEA HEIGHTS,741500,182421.7684
CLARINDA,1015858.333,-91936.56498
CLAYTON,1249225,-325303.2316
CLAYTON SOUTH,880260.8696,43660.89879
CRANBOURNE,661251.3333,262670.435
CRANBOURNE NORTH,605000,318921.7684
CRANBOURNE WEST,825000,98921.76835
DANDENONG,680863.6364,243058.132
DANDENONG NORTH,671140.7407,252781.0276
DINGLEY VILLAGE,918851.3514,5070.417003
DOVETON,539166.6667,384755.1017
EDITHVALE,951093.75,-27171.98165
ENDEAVOUR HILLS,753433.3333,170488.435
EUMEMMERRING,703000,220921.7684
FRANKSTON,668443.4746,255478.2938
FRANKSTON SOUTH,932166.6667,-8244.898312
HALLAM,758250,165671.7684
HAMPTON PARK,552000,371921.7684
HEATHERTON,817000,106921.7684
KEYSBOROUGH,805545.4545,118376.3138
LYSTERFIELD,730000,193921.7684
MENTONE,1111638.298,-187716.5295
MORDIALLOC,1110700,-186778.2316
MULGRAVE,1108115.608,-184193.8395
NARRE WARREN,635777.7778,288143.9906
NOBLE PARK,715590.9091,208330.8593
OAKLEIGH SOUTH,998620.6714,-74698.90307
PARKDALE,1283681.25,-359759.4816
PATTERSON LAKES,817000,106921.7684
ROWVILLE,899561.9048,24359.86359
SANDHURST,642500,281421.7684
SEAFORD,744340,179581.7684
SKYE,552674.5,371247.2684
SPRINGVALE,859525,64396.76835
SPRINGVALE SOUTH,782700,141221.7684
WATERWAYS,1248500,-324578.2316
WHEELERS HILL,1254831.553,-330909.7848
