Suburb,Address,Rooms,Type,Price,Distance,Bedroom2,CouncilArea,Lattitude,Longtitude
ASHWOOD,18 Teck St,2,h,995000,12.2,2,Monash City Council,-37.8693,145.1082
ASHWOOD,28 Raymond St,3,h,1250000,12.2,3,Monash City Council,-37.867,145.1092
ASHWOOD,31a Douglas St,3,u,1045000,12.2,3,Monash City Council,-37.8639,145.0968
ASHWOOD,1/53 Winbirra Pde,4,h,1200000,12.2,4,Monash City Council,-37.8716,145.0999
ASHWOOD,18 Montrose St,2,h,1075000,12.2,2,Monash City Council,-37.8694,145.0944
ASHWOOD,4 Scenic Dr,4,h,1500000,12.2,2,Monash City Council,-37.8647,145.1023
ASHWOOD,8 Rocklands Rd,3,h,1120000,12.2,3,Monash City Council,-37.8642,145.1109
ASHWOOD,1/7 Farmer St,2,t,700000,12.2,2,Monash City Council,-37.8662,145.109
ASHWOOD,1/136 High Street Rd,3,h,761000,12.2,3,Monash City Council,-37.8675,145.106
ASHWOOD,10 Maroondah Rd,4,h,1270000,12.2,4,Monash City Council,-37.8651,145.1109
ASHWOOD,4 Peppermint Ct,4,h,1510000,12.2,4,Monash City Council,-37.8661,145.1013
ASHWOOD,35 Douglas St,3,h,1365000,12.2,3,Monash City Council,-37.864,145.0972
ASHWOOD,95 Huntingdale Rd,4,h,1100000,12.2,3,Monash City Council,-37.8621,145.1126
ASHWOOD,8 Maroondah Rd,4,h,1415000,12.2,4,Monash City Council,-37.8651,145.1107
ASHWOOD,1/7 Murra Ct,2,u,690000,12.2,2,Monash City Council,-37.8711,145.1017
ASHWOOD,58 Ashwood Dr,3,h,1631000,12.2,3,Monash City Council,-37.8621,145.1021
ASHWOOD,3 Harold St,4,h,1500000,12.2,4,Monash City Council,-37.8655,145.096
ASHWOOD,9 Katta Ct,3,h,1060000,12.2,2,Monash City Council,-37.8707,145.1036
ASHWOOD,16 Scenic Dr,5,h,1529500,12.2,5,Monash City Council,-37.8637,145.1024
ASHWOOD,4/36 Queens Pde,2,u,600000,12.2,2,Monash City Council,-37.8696,145.0962
ASHWOOD,4/24 Mulgrave St,2,u,535000,12.2,2,Monash City Council,-37.8702,145.1042
ASHWOOD,147 Huntingdale Rd,3,h,785000,12.2,3,Monash City Council,-37.8671,145.1117
ASHWOOD,17 Parkhill Dr,4,h,1240000,12.2,4,Monash City Council,-37.8629,145.1097
ASHWOOD,2/6 Murra Ct,2,u,700000,12.2,2,Monash City Council,-37.8709,145.102
ASHWOOD,12 Leonard St,4,h,1350000,12.2,4,Monash City Council,-37.8669,145.1106
ASHWOOD,4 Teck St,2,h,1110000,12.2,2,Monash City Council,-37.8683,145.1082
ASHWOOD,14 Ashwood Dr,3,h,1305000,12.2,3,Monash City Council,-37.858,145.1038
ASHWOOD,1/2 Condah Ct,3,h,855000,12.2,3,Monash City Council,-37.87,145.1103
